row1:
  group1: 8241160, 23.05.01, 25, , , , , СТС, , 
  group16: Аналитическая геометрия, УЛК-3, 305, , пр., Матем., ассис., Филимонов С.В., УЛК-3 305, 
  group17: , , , , , , , ,  , 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: , , , , , , , , УЛК-2 221, 
  group22: Химия, УЛК-1, 147, , лаб, ХиЭ, доцент, Мифтахов М. Н., УЛК-1 147, 
  group23: Основы российской государственности (28.10), УЛК-1, 420, , пр, СГН, доцент, Яковлева М.Г., УЛК-1 420, 
  group24: Аналитическая геометрия, УЛК-1, 445, , пр, Мат, доцент, Углов А.Н., УЛК-1 445, 
  group25: Введение в профессиональную деятельность ( 28.10), УЛК-2, 307, , лек(6ч)+пр(12ч), АиУ, доцент, Лукьянова А.В., УЛК-2 307, 
  group26: Информатика, УЛК-2, 308, , лаб, АиУ, доцент, Балабанов И.П., УЛК-2 308, 
  group27: , , , , , , , ,  , 

row11:
  group1: , , , , , , , ,  , 
  group2: , , , , , , , ,  , 
  group3: , , , , , , , ,  , 
  group4: Основы российской государственности (18.11), УЛК-4, 204, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 204, 
  group5: Аналитическая геометрия (18.11), УЛК-4, 217, , пр., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group6: История России (21.10), УЛК-4, 126, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 126, 
  group7: Аналитическая геометрия (21.10, 18.11), УЛК-4, 221, , пр., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group8: , , , , , , , ,  , 
  group9: , , , , , , , ,  , 
  group10: , , , , , , , ,  , 
  group11: , , , , , , , ,  , 
  group12: , , , , , , , ,  , 
  group13: , , , , , , , ,  , 
  group14: , , , , , , , ,  , 
  group15: , , , , , , , ,  , 
  group16: История России, УЛК-1, 445, , пр., СГН, ст.преп., Шпека И.И., УЛК-1 445, 
  group17: , , , , , , , ,  , 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: , , , , , , , ,  , 
  group22: Аналитическая геометрия, УЛК-1, 444, , пр, Мат, доцент, Углов А.Н., УЛК-1 444, 
  group23: Основы российской государственности, УЛК-1, 413, , пр, СГН, доцент, Яковлева М.Г., УЛК-1 413, 
  group24: Химия, УЛК-1, 147, , лаб, ХиЭ, доцент, Мифтахов М.Н., УЛК-1 147, 
  group25: , , , , , , , ,  , 
  group26: , , , , , , , ,  , 
  group27: , , , , , , , ,  , 

row12:
  group1: , , , , , , , ,  , 
  group2: , , , , , , , ,  , 
  group3: , , , , , , , ,  , 
  group4: , , , , , , , ,  , 
  group5: , , , , , , , ,  , 
  group6: , , , , , , , ,  , 
  group7: , , , , , , , ,  , 
  group8: , , , , , , , ,  , 
  group9: , , , , , , , ,  , 
  group10: Основы российской государственности, УЛК-4, 217, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 217, 
  group11: , , , , , , , ,  , 
  group12: , , , , , , , ,  , 
  group13: , , , , , , , ,  , 
  group14: , , , , , , , ,  , 
  group15: , , , , , , , ,  , 
  group16: Аналитическая геометрия, УЛК-3, 305, , пр., Матем., ассис., Филимонов С.В., УЛК-3 305, 
  group17: , , , , , , , ,  , 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: , , , , , , , ,  , 
  group22: , , , , , , , ,  , 
  group23: История России, УЛК-1, 445, , пр, СГН, ст. преп, Шпека И.И., УЛК-1 445, 
  group24: Аналитическая геометрия, УЛК-1, 444, , пр, Мат, доцент, Углов А.Н., УЛК-1 444, 
  group25: , , , , , , , ,  , 
  group26: Физическая культура и спорт, спорт.комп, 24, , пр, ФВиС, преп, Латоша Г.В, спорт.комп 24, 
  group27: Начертательная геометрия, УЛК-2, 330, 331, пр, МиК, доцент, Феоктистова Л.А. Рзаева Т.В., УЛК-2 330, УЛК-2 331

row13:
  group1: , , , , , , , ,  , 
  group2: , , , , , , , ,  , 
  group3: , , , , , , , ,  , 
  group4: , , , , , , , ,  , 
  group5: , , , , , , , ,  , 
  group6: , , , , , , , ,  , 
  group7: , , , , , , , ,  , 
  group8: , , , , , , , ,  , 
  group9: , , , , , , , ,  , 
  group10: , , , , , , , ,  , 
  group11: , , , , , , , ,  , 
  group12: Иностранный язык (электронные часы), УЛК-2, 401, , пр., ИЯ, доцент, Мустафина Д.Н., УЛК-2 401, 
  group13: , , , , , , , ,  , 
  group14: , , , , , , , ,  , 
  group15: , , , , , , , ,  , 
  group16: , , , , , , , ,  , 
  group17: , , , , , , , ,  , 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: , , , , , , , ,  , 
  group22: Аналитическая геометрия (21.10), УЛК-1, 444, , пр, Мат, доцент, Углов А.Н., УЛК-1 444, 
  group23: , , , , , , , ,  , 
  group24: , , , , , , , ,  , 
  group25: , , , , , , , ,  , 
  group26: , , , , , , , ,  , 
  group27: , , , , , , , ,  , 

row14:
  group1: , , , , , , , ,  , 
  group2: , , , , , , , ,  , 
  group3: , , , , , , , ,  , 
  group4: , , , , , , , ,  , 
  group5: , , , , , , , ,  , 
  group6: , , , , , , , ,  , 
